,copy_act,depth,obj_num,iters,act_pred_num,literals_num,act_avg,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,step_avg,step_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,0,30,10,100,130.0,100,160.0,OBTEA,210.0,,477.0,,235.0,,8.0,,69.0,0.0,48.0,0.0,0.03701,0.0,0.07402
1,0,30,10,100,130.0,100,160.0,Baseline,432.0,,764.0,,426.0,,7.0,,129.0,0.0,47.0,0.0,0.05201,0.0,0.10402
2,0,30,100,100,130.0,100,1338.0,OBTEA,28.0,,11.0,,70.0,,1.0,,7.0,0.0,7.0,0.0,0.03201,0.0,0.06402
3,0,30,100,100,130.0,100,1338.0,Baseline,23.0,,11.0,,70.0,,1.0,,8.0,0.0,1.0,0.0,0.005,0.0,0.01
4,5,10,50,100,110.0,100,349.0,OBTEA,236.0,,892.0,,182.0,,10.0,,62.0,0.0,51.0,0.0,0.08002,0.0,0.16004
5,5,10,50,100,110.0,100,349.0,Baseline,201.0,,650.0,,470.0,,10.0,,62.0,0.0,17.0,0.0,0.03501,0.0,0.07002
6,5,30,50,100,130.0,100,836.0,OBTEA,214.0,,372.0,,54.0,,4.0,,114.0,0.0,49.0,0.0,0.20305,0.0,0.40609
7,5,30,50,100,130.0,100,836.0,Baseline,632.0,,362.0,,225.0,,4.0,,205.0,0.0,19.0,0.0,0.19405,0.0,0.38809
8,5,30,100,100,130.0,100,1719.0,OBTEA,79.0,,82.0,,49.0,,2.0,,122.0,0.0,19.0,0.0,0.17104,0.0,0.34208
9,5,30,100,100,130.0,100,1719.0,Baseline,204.0,,26.0,,142.0,,2.0,,68.0,0.0,2.0,0.0,0.02201,0.0,0.04401
10,5,30,100,500,530.0,100,1663.0,OBTEA,44.0,,29.0,,31.0,,2.0,,17.0,0.0,17.0,0.0,0.17104,0.0,0.34208
11,5,30,100,500,530.0,100,1663.0,Baseline,96.0,,29.0,,67.0,,2.0,,32.0,0.0,2.0,0.0,0.02101,0.0,0.04201
12,5,50,100,500,550.0,100,2739.0,OBTEA,26.0,,33.0,,5.0,,2.0,,103.0,0.0,7.0,0.0,0.08602,0.0,0.17204
13,5,50,100,500,550.0,100,2739.0,Baseline,92.0,,11.0,,96.0,,1.0,,31.0,0.0,1.0,0.0,0.015,0.0,0.03001
