,difficult,merge_time,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cond_ticks_avg,cond_ticks_std,cost_avg,cost_std,plan_time_avg,plan_time_std,plan_time_total
0,Medium,0,32.367,36.655,87.733,152.151,66.133,145.49,162.3,138.076,0.01709,0.02572,0.51282
1,Medium,1,32.9,29.538,84.6,123.431,41.467,65.141,162.3,138.076,0.01666,0.022,0.49995
2,Medium,2,33.733,31.176,84.767,113.424,39.6,58.309,162.3,138.076,0.01706,0.02196,0.5117
3,Medium,3,34.267,32.102,88.267,127.376,39.867,59.648,162.3,138.076,0.01696,0.02279,0.50871
4,Medium,4,34.5,33.806,87.433,129.34,38.8,59.867,162.3,138.076,0.0164,0.02196,0.49211
5,Medium,5,34.6,33.969,87.067,125.326,38.267,57.59,162.3,138.076,0.01679,0.02357,0.50369
6,Medium,6,34.867,35.254,87.633,128.171,38.467,58.561,162.3,138.076,0.01626,0.0217,0.48767
7,Medium,7,34.933,35.578,87.933,129.682,38.633,59.374,162.3,138.076,0.01686,0.02163,0.50566
8,Medium,8,34.767,34.771,88.4,132.039,38.8,60.19,162.3,138.076,0.01756,0.02258,0.52667
9,Medium,9,34.767,34.771,88.4,132.039,38.8,60.19,162.3,138.076,0.01646,0.02179,0.49369
10,Medium,10,34.767,34.771,88.4,132.039,38.8,60.19,162.3,138.076,0.01936,0.0255,0.58068
11,Medium,11,34.767,34.771,88.4,132.039,38.8,60.19,162.3,138.076,0.01649,0.02188,0.49467
12,Medium,12,34.767,34.771,88.4,132.039,38.8,60.19,162.3,138.076,0.01679,0.02233,0.50366
13,Medium,13,34.767,34.771,88.4,132.039,38.8,60.19,162.3,138.076,0.01612,0.02169,0.48368
14,Medium,14,34.767,34.771,88.4,132.039,38.8,60.19,162.3,138.076,0.01629,0.02184,0.48868
15,Medium,15,34.767,34.771,88.4,132.039,38.8,60.19,162.3,138.076,0.01669,0.02161,0.50067
