,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cond_tick_avg,cond_tick_std,cost_avg,cost_std,step_avg,step_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,10,100,10,10.0,0,995.691,481.2,514.13,OBTEA,13.907,11.094,23.452,21.877,22.186,17.09,60.366,52.115,1.49,0.929,6.042,3.328,4.511,2.922,0.00193,0.00153,3.86232
1,10,100,10,10.0,0,995.691,481.2,514.13,Baseline,22.386,20.572,30.124,39.519,34.063,47.003,73.152,58.726,1.47,0.948,7.477,6.125,2.03,2.324,0.00127,0.0018,2.53729
2,10,500,50,50.0,0,25000.0,22391.397,12471.024,OBTEA,87.49,99.624,123.439,155.89,309.827,344.568,132.391,102.704,3.197,1.873,29.103,25.136,20.361,21.591,0.65845,0.72965,1316.90979
3,10,500,50,50.0,0,25000.0,22391.397,12471.024,Baseline,130.919,188.551,191.874,414.76,832.318,1837.944,158.666,112.74,3.24,1.996,39.799,54.846,13.525,25.474,0.48848,0.9194,976.96843
4,10,100,10,10.0,5,1005.192,479.194,535.844,OBTEA,22.196,25.511,23.958,28.658,22.676,21.457,26.817,29.551,1.419,0.964,17.054,11.864,8.417,8.254,0.00422,0.0059,8.44165
5,10,100,10,10.0,5,1005.192,479.194,535.844,Baseline,62.856,60.165,33.635,61.367,40.763,85.116,69.288,60.609,1.368,0.925,21.065,19.451,1.769,1.965,0.00175,0.00317,3.49946
6,10,100,50,10.0,5,5027.002,508.429,534.615,OBTEA,99.535,91.722,183.604,181.274,482.118,449.124,118.817,87.875,4.692,2.746,39.077,25.635,25.614,21.555,0.03462,0.03066,69.24056
7,10,100,50,10.0,5,5027.002,508.429,534.615,Baseline,157.205,149.231,264.653,488.67,1245.217,2600.4,230.741,147.392,4.688,2.769,50.207,47.355,8.591,8.023,0.0178,0.01849,35.59892
8,10,100,50,30.0,5,5050.499,2532.632,1547.721,OBTEA,111.75,112.426,170.219,209.243,424.751,459.897,99.418,76.655,3.842,2.37,45.918,32.924,27.661,25.868,0.09872,0.09728,197.43406
9,10,100,50,30.0,5,5050.499,2532.632,1547.721,Baseline,199.047,219.501,247.355,455.426,1157.153,2255.204,190.716,135.267,3.801,2.423,63.254,68.887,11.29,14.564,0.05286,0.06974,105.72584
10,10,100,50,50.0,5,5050.55,4521.565,2543.009,OBTEA,128.05,162.03,155.563,210.047,377.906,468.375,84.248,64.286,3.387,2.027,55.12,47.811,30.977,35.793,0.1779,0.20445,355.80222
11,10,100,50,50.0,5,5050.55,4521.565,2543.009,Baseline,250.224,356.56,298.533,813.334,1407.388,4000.89,166.008,118.368,3.312,2.069,79.311,110.524,14.295,27.301,0.10401,0.2004,208.01718
12,10,300,50,50.0,5,15050.15,13530.193,7557.488,OBTEA,133.516,165.387,170.231,247.74,416.495,534.971,87.21,68.368,3.46,2.103,55.519,49.353,32.172,37.492,0.6372,0.76771,1274.39441
13,10,300,50,50.0,5,15050.15,13530.193,7557.488,Baseline,275.659,432.423,329.623,832.882,1499.284,3700.81,169.364,122.114,3.403,2.17,87.107,133.467,16.342,35.003,0.39318,1.14902,786.35858
14,10,500,50,50.0,5,25050.046,22447.018,12514.876,OBTEA,130.293,178.5,166.945,261.16,406.05,563.442,84.226,63.999,3.409,2.07,55.674,52.515,31.47,40.524,1.06212,1.39991,2124.24433
15,10,500,50,50.0,5,25050.046,22447.018,12514.876,Baseline,259.46,381.102,288.565,723.487,1363.752,3891.492,160.985,112.137,3.271,2.083,82.342,119.125,14.438,27.037,0.55546,1.04618,1110.92863
