,max_actcopy,literals_num,depth,iters,state,act,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,step_avg,step_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,5,100,10,10,21.0,80.15,OBTEA,103.1,113.73,356.45,440.009,90.35,73.142,5.05,2.46,75.5,52.493,34.7,36.95,0.01493,0.01676,0.59728
1,5,100,10,10,21.0,80.15,Baseline,285.2,271.608,395.9,465.504,225.95,156.985,4.95,2.605,91.6,83.72,12.4,14.613,0.01685,0.02173,0.67417
2,5,200,10,10,21.0,79.2,OBTEA,115.9,58.255,520.3,347.611,160.25,84.614,8.3,2.536,56.35,21.717,39.2,18.761,0.02866,0.01915,1.14649
3,5,200,10,10,21.0,79.2,Baseline,218.25,163.057,412.95,305.441,382.25,155.619,8.2,2.745,68.8,49.089,13.85,12.507,0.02156,0.02357,0.86222
4,5,300,10,10,21.0,77.8,OBTEA,104.85,96.433,418.55,349.568,147.75,110.239,7.15,3.631,61.5,61.21,35.35,31.288,0.03369,0.03331,1.34741
5,5,300,10,10,21.0,77.8,Baseline,178.9,148.203,322.1,236.872,347.0,232.649,7.15,3.631,56.95,46.11,10.05,6.953,0.02388,0.03395,0.95538
6,5,500,10,10,21.0,79.15,OBTEA,133.15,72.908,640.25,444.464,207.8,98.07,8.65,2.601,58.95,25.701,44.95,23.532,0.06442,0.03739,2.57687
7,5,500,10,10,21.0,79.15,Baseline,210.4,131.706,444.4,503.844,470.55,189.013,8.6,2.722,66.65,41.072,12.45,5.861,0.03818,0.02878,1.52704
8,5,900,10,10,21.0,82.4,OBTEA,120.2,49.356,588.2,296.776,189.4,65.628,9.85,0.366,55.35,17.476,40.4,16.036,0.10924,0.04127,4.36979
9,5,900,10,10,21.0,82.4,Baseline,177.85,64.693,358.45,138.132,491.1,68.956,9.85,0.366,56.1,20.02,11.55,3.694,0.04867,0.02252,1.94668
10,5,1000,10,10,21.0,77.75,OBTEA,128.15,64.177,616.05,259.393,228.9,46.405,9.9,0.308,51.3,22.392,43.05,20.851,0.13842,0.07462,5.53682
11,5,1000,10,10,21.0,77.75,Baseline,177.9,109.609,438.25,419.425,474.55,102.497,9.9,0.308,56.0,34.482,11.9,3.632,0.0602,0.03828,2.40787
