,literals_num,depth,iters,state,act,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,plan_time_avg,plan_time_std,plan_time_total
0,10,10,10,27.215,30.838,18.68,13.923,17.338,12.713,21.553,26.491,0.00114,0.00186,2.27719
1,10,10,10,27.215,30.838,36.637,24.373,20.944,25.739,49.79,38.218,0.00023,0.00084,0.46213
2,10,10,100,93.37,120.0,28.191,30.236,14.66,9.325,2.655,8.136,0.00321,0.00544,6.42478
3,10,10,100,93.37,120.0,102.479,44.676,19.137,14.414,43.506,32.443,0.00025,0.00043,0.49614
4,10,10,1000,497.608,1022.127,39.179,68.997,15.563,9.94,1.001,0.675,0.02511,0.0444,50.226
5,10,10,1000,497.608,1022.127,868.446,363.685,19.339,16.85,44.466,30.725,0.00189,0.00076,3.77615
6,100,10,10,30.497,31.007,157.252,171.69,270.204,377.304,169.281,127.778,0.0157,0.04328,31.39615
7,100,10,10,30.497,31.007,212.72,304.404,341.992,723.913,211.338,140.726,0.02298,0.07488,45.95011
8,100,10,1000,973.7,1022.999,295.731,267.912,91.99,86.999,12.701,22.157,0.32215,0.34148,644.30859
9,100,10,1000,973.7,1022.999,473.985,373.199,184.153,261.266,54.416,48.672,0.02007,0.12434,40.14769
10,10,50,10,101.264,129.551,28.848,29.423,14.687,8.7,8.568,12.072,0.00317,0.00202,6.34675
11,10,50,10,101.264,129.551,107.696,51.135,17.836,12.802,44.353,31.507,0.00027,0.00045,0.54012
12,10,50,100,148.748,200.0,31.182,36.325,14.819,9.153,1.114,2.91,0.00473,0.00311,9.46023
13,10,50,100,148.748,200.0,161.332,69.991,18.78,14.39,46.512,31.106,0.00075,0.01075,1.50633
14,10,50,1000,531.938,1100.0,34.991,61.564,14.851,9.38,0.907,0.294,0.02469,0.04493,49.38249
15,10,50,1000,531.938,1100.0,874.014,377.164,19.051,14.029,45.782,31.132,0.00191,0.00076,3.82088
16,100,50,10,130.355,130.948,237.416,411.145,200.077,346.426,66.861,43.326,0.05107,0.11313,102.13633
17,100,50,10,130.355,130.948,365.637,836.735,292.376,720.139,123.207,76.048,0.05103,0.33107,102.05125
18,100,50,1000,1089.225,1100.0,213.045,189.246,78.334,66.37,9.279,19.143,0.24323,0.24459,486.45268
19,100,50,1000,1089.225,1100.0,391.759,363.754,140.432,194.207,51.916,47.713,0.01368,0.02132,27.35595
